"spectrumID","distance","i"
"data//spec-0750-52235-0328.fits",1.08265956452669,-95
"data//spec-2118-53820-0538.fits",1.08456383519211,-100
"data//spec-1437-53046-0166.fits",1.09244486931756,-83
"data//spec-6461-56329-0925.fits",1.09417995772283,-96
"data//spec-0935-52643-0464.fits",1.09419523031606,-58
"data//spec-5328-55982-0218.fits",1.09806042631599,-100
"data//spec-1959-53440-0382.fits",1.10593857153657,-85
"data//spec-1788-54468-0050.fits",1.12423643445594,-100
"data//spec-7258-56605-0453.fits",1.13408378142074,-92
"data//spec-0632-52071-0263.fits",1.13657442897446,-88
"data//spec-2179-53555-0564.fits",1.13812102288172,-100
"data//spec-1105-52937-0368.fits",1.14467548454381,-100
"data//spec-1054-52516-0291.fits",1.14922868361682,-100
"data//spec-1229-52723-0306.fits",1.15332057981794,-78
"data//spec-2422-54096-0519.fits",1.15740580025112,-65
"data//spec-0314-51641-0211.fits",1.15955694269025,-100
"data//spec-1568-53169-0578.fits",1.16280138244305,-99
"data//spec-0991-52707-0359.fits",1.1662217521248,-99
"data//spec-1672-53460-0251.fits",1.16790255859463,-93
"data//spec-6754-56414-0896.fits",1.17094599560029,-81
"data//spec-4801-55653-0130.fits",1.18105795364209,-18
"data//spec-5336-55957-0105.fits",1.18368689746304,-90
"data//spec-6466-56310-0992.fits",1.18815533446191,-54
"data//spec-2161-53878-0604.fits",1.18863533691089,-95
"data//spec-6512-56567-0742.fits",1.19563388955203,-100
"data//spec-1081-52531-0173.fits",1.20388943453716,-81
"data//spec-6125-56273-0414.fits",1.22170157060715,-99
"data//spec-6053-56091-0724.fits",1.23764864777561,-93
"data//spec-6161-56238-0336.fits",1.25353903824584,-93
"data//spec-5451-56010-0798.fits",1.2661735645003,-69
